x,y,z
34.60344323,94.81864495,30.08383681
22.13948075,88.14150714,30.26804763
11.58960198,71.67990828,48.93162731
5.566102295,65.91117989,52.97805066
2.965718747,68.10802512,68.58713854
7.167599337,49.39823283,48.83550436
14.01068871,54.81782335,26.71465124
8.502737639,56.40197294,21.90487579
7.48341454,37.84443485,8.700948387
3.2647171,14.84582809,10.90090823
1.094337773,18.75229596,38.63124131
13.85325627,12.16531423,38.84517018
3.167142954,8.536630863,44.28905479
2.096627554,14.699866,49.41547805
1.458129703,2.204070556,91.24878147
25.26998929,10.89627329,78.97746651
27.98661591,23.98557996,93.04476861
30.75172277,6.758589897,98.65256843
43.19441894,13.13081878,88.70221239
57.36766898,1.24085475,76.35622455
53.47693951,20.29553633,82.56870624
65.55409762,22.54505355,98.2022906
77.20378894,20.1035614,97.95159412
73.02560263,23.00927523,81.51827318
85.42215069,31.61363191,88.32140417
79.00959857,53.27089546,89.09597646
92.53788542,75.81425525,73.85985063
98.42161775,78.91641238,74.47965481
91.39929315,75.31852813,92.89240436
63.96789073,77.70587266,93.84528428
64.24157353,87.03313078,82.57541032
60.08922663,99.27031006,85.89007411
48.02710214,93.47722959,85.93125713
17.20649936,95.78358992,90.11612078
15.9447036,76.69546408,88.23531616
5.619337062,47.36780393,85.874639
28.85640334,28.37326312,76.41660617
35.5973324,24.18967358,65.97937735
48.39886718,21.29545773,66.5003975
45.6359997,27.8326119,74.63579876
48.34860708,36.39561893,69.06365766
42.00102486,41.5195684,59.89551075
41.09978208,27.20031747,61.66564885
41.85033701,28.21687693,56.33027051
41.17428408,36.29482959,51.96770478
48.41579465,37.45879417,51.44672696
53.40713625,51.4465557,49.67309511
72.73358286,49.78271112,71.82736525
59.39559553,41.58882142,84.44451956
50.60791575,46.8614641,94.61246449
43.03843392,63.13787906,76.75288785
43.57866502,69.2405431,80.18808341
56.0612387,92.74653144,62.55276642
62.4379179,99.93570571,60.91808331
74.16717791,86.53388629,31.37889541
66.60446403,82.19239026,25.72835944
99.57792679,82.96134916,6.839005477
84.70927118,74.95454593,21.98648417
78.20625426,71.23093181,24.97149075
78.70385447,69.52678678,31.36830825
77.22604356,51.41647355,30.62189838
88.84676879,57.20169858,12.12105834
97.62681637,50.10159934,10.81135324
98.5062234,32.87813584,0.855729034
73.1023151,22.68466298,12.62391158
96.34851576,3.536620185,19.50967078
87.55972983,4.479500288,37.72987018
87.09193418,12.48987697,30.78998717
72.81436461,27.06689041,36.66782046
84.24452186,24.423874,55.13810415
79.10762958,20.48504505,55.45796525
75.53727028,8.87729078,47.63221773
74.9807949,13.33255033,38.48597874
61.28635786,4.714313059,35.45128421
50.01189589,6.670498904,24.4113828
48.37692105,14.33166415,32.54217505
38.18078136,1.783819824,35.02022004
37.11428006,15.14619066,23.63996185
36.75056767,19.28234734,34.89621434
41.8675124,27.06773413,35.46732428
39.34760927,26.60850358,28.35521195
40.65969914,35.13275243,14.38944451
53.27876,39.09687933,27.442983
55.48536391,55.40371769,22.95422739
42.49484184,50.49558977,24.50722901
36.53565,54.66653531,26.71407834
36.11332391,58.97856637,28.260857
20.99344086,66.38747699,15.99557116
38.90496254,68.43897212,9.813049206
33.73417624,79.41527919,11.23736429
34.60344323,94.81864495,30.08383681
