x,y,z
9.385355611,71.69313727,85.39958071
0.001842248,60.70963139,67.59868009
14.19748486,58.21103319,52.21846597
8.893010088,44.52955091,48.46356914
10.83576088,23.47597919,46.15961623
23.56381478,18.23303294,35.86804433
37.54729134,14.8464978,37.71909143
31.28943353,22.82824126,38.57440717
33.26632089,38.78063867,38.79594874
33.64665476,57.91395086,37.59458127
26.81101153,49.4396418,29.95623602
21.48184466,49.52176892,22.21738293
24.62315239,62.20788648,15.75419794
27.83249904,56.47953954,7.07039315
4.126094364,57.88215584,9.654859114
6.7338083,68.61231546,1.061863208
8.890551558,80.56700325,4.80185206
15.05487853,79.10197234,11.86661445
18.37921096,76.98130376,29.5471131
0.044909719,90.27457221,29.30029864
2.471997977,80.04125821,45.156736
8.352088498,78.65843845,51.09715404
20.34944576,83.68461414,59.70410629
32.68551064,84.65422013,57.84332688
43.59968826,77.81890743,67.50731539
48.83814898,80.64366628,74.93384864
61.67430509,72.04382221,73.52340602
73.47670728,56.07037173,84.8805146
57.97516573,58.57356533,89.60174595
55.24791797,70.52342263,86.53804988
46.99584188,82.64716128,96.09243179
61.69725507,95.35030635,91.27028032
77.06946085,91.92013945,96.13647236
95.84546206,86.80128249,91.10945917
92.39979391,82.26944567,83.03062329
92.75232279,88.98875808,82.20367329
83.50304103,98.64007165,83.1335431
78.3637357,92.15686143,67.25730207
71.05117008,99.43971725,65.95586542
62.32162263,98.0804838,50.50271699
77.07635926,92.75899197,26.65473901
80.54510052,92.10557655,33.17670224
89.6516701,88.45254103,41.71093984
83.77577219,71.77420008,54.2749494
82.38165377,67.30335045,44.90864803
89.8871987,60.23219539,46.18946579
98.16265454,63.20791189,33.95180443
78.76341567,65.99165063,29.82577322
84.96919279,48.72297644,14.2498922
91.90659305,63.84524194,17.09363883
88.60660356,73.58027931,12.08401824
88.26935682,76.06531766,2.42610218
68.19802121,67.71150443,15.86424587
54.82497656,50.60803979,8.269949576
40.01706164,47.60450779,17.10374478
42.48182885,38.45990037,7.488343801
42.49277625,23.60676153,6.713078632
19.73291033,24.60126475,10.34497407
6.752404975,20.80027401,0.076587646
2.174616497,31.99236686,18.5635798
15.25154164,29.08088904,17.44802196
19.44010401,26.33869921,16.82332873
20.35642399,26.31403708,15.77779694
18.32192871,10.97072475,28.96313161
11.36067035,3.15531192,31.6908914
3.905874178,7.342167237,39.59249192
1.697522539,1.506497919,52.96253905
7.001738605,0.694185461,71.64693097
4.001077975,18.21768055,69.27721164
1.520497525,34.16851867,66.30198254
7.475085118,41.20595585,76.4330666
15.58236004,51.41531585,81.98953134
19.27081423,54.80488228,91.09289246
30.64483623,55.85708928,99.54739607
37.64196659,41.2125071,75.03461746
32.62641538,52.31678515,62.83910656
24.45377707,32.79693835,64.12572809
23.22601931,20.59271342,69.55319127
28.30160566,12.88634887,73.6836569
33.76947721,9.565165717,85.26658363
23.4112288,10.7293311,86.34624478
20.66887793,14.26768012,88.25972359
15.87273702,12.61566376,82.37074591
9.841519267,18.42903409,95.52288487
31.39529094,25.59939526,94.53204589
52.80155632,17.40058025,98.23096159
63.58805531,4.399931218,75.7003596
48.37906026,4.122854414,59.28387809
57.93632757,20.13395338,48.073159
74.41941927,16.3256498,43.29394856
77.12997825,17.46818232,59.06902417
89.34624149,7.251603262,48.66525773
92.36174866,6.920185439,60.20408688
78.79772413,6.736277967,71.4899252
75.30618652,19.31652213,79.99132302
76.74129338,9.545447148,90.67170693
79.50933736,18.69951179,96.12666142
82.99769875,34.65511497,92.62373639
96.66827764,53.33591108,93.75982783
89.40946356,48.2248492,73.68883793
81.3600505,39.42244454,59.72873349
92.90303466,29.58828803,55.15839432
92.50095815,39.0591485,46.4217906
80.98233341,52.55111675,40.54762116
71.08410343,54.89663116,45.25186758
55.65454883,47.88533224,50.42651778
54.19911023,46.29770067,55.19781898
56.38578619,51.61528223,58.20776061
59.40450801,47.06164472,60.28339625
61.18744314,43.68991686,56.96434042
63.63614603,38.50661393,64.96121861
52.88105453,31.51852993,64.87963694
54.65565451,21.83818082,67.91026503
42.73525534,22.07032657,58.98526137
33.33762263,12.72041836,52.80596308
24.94455441,1.288207759,60.75988963
37.0889317,2.461786957,44.91036841
44.39286446,2.489038095,33.70169839
47.43724854,13.84807486,26.86046905
49.04755776,21.3001656,20.77978205
54.91614559,20.97497818,22.6697395
56.53866491,31.28073117,21.6943466
60.22488967,26.81294894,27.48478578
57.63390074,12.89220243,32.00661265
60.78156293,1.541286688,26.92149433
90.6186805,0.775346053,7.043603513
87.63029768,2.921323201,3.633703608
83.28573403,19.67070836,0.550987947
80.15975301,36.01398173,21.23058436
69.50546571,34.89942761,23.08275644
66.2361901,42.05108807,23.44619978
57.67782872,57.44043203,30.63602716
45.45791265,63.37234684,28.91892566
50.61232914,74.92008166,26.09260395
57.70207403,71.67325978,39.46863098
47.35741147,84.64927593,47.35974773
46.89496092,89.70167787,44.44981131
47.78602786,93.42143998,38.71481873
55.34771246,88.57963483,30.36295349
60.79540693,85.96389352,20.45836861
57.51303694,93.36311613,11.99479509
31.00018083,94.70917242,6.995531145
34.61808103,91.49738107,12.98450007
32.51101683,97.22168843,22.74690408
20.36755038,91.35365205,39.93832586
36.05103164,98.26387702,49.68547889
44.40853817,94.23556112,60.61822668
28.49139176,93.82147112,67.61259894
8.814251317,87.01833775,79.18699052
1.71104345,76.68962963,90.3277089
9.385355611,71.69313727,85.39958071
